gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
SEMA3C,MEP,2e-05,1,1,other,0.0,0.0,710
CABLES1,MEP,1.8e-05,1,1,other,0.0,0.0,711
SESN3,MEP,1.6e-05,1,1,other,0.0,0.0,712
APLP2,MEP,1.5e-05,1,1,other,0.0,0.0,713
MCTP1,MEP,1.4e-05,1,1,other,0.0,0.0,714
RFLNB,MEP,9e-06,1,1,other,0.0,0.0,715
UBE2C,MEP,7e-06,1,1,other,0.0,0.0,716
TIMP3,MEP,4e-06,1,1,other,0.0,0.0,717
TFPI,MEP,2e-06,1,1,other,0.0,0.0,718
AC069410.1,MEP,0.0,0,1,other,0.0,0.0,719
MDM2,MEP,0.0,1,1,other,0.0,0.0,720
CRADD,MEP,0.0,1,1,other,0.0,0.0,721
ARMH1,MEP,0.0,1,1,other,0.0,0.0,722
BRF1,MEP,0.0,0,1,other,0.0,0.0,723
ZNF367,MEP,0.0,1,1,other,0.0,0.0,724
