gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
BRF1,GMP,0.003244,1,1,other,0.0054,0.0,326
IL1RAP,GMP,0.003242,1,1,other,0.0,0.0081,327
CEP128,GMP,0.003239,1,1,other,0.0,0.0081,328
SBF2,GMP,0.003177,1,1,other,0.0,0.0079,329
RACK1,GMP,0.003158,1,1,other,0.0,0.0079,330
CSGALNACT1,GMP,0.00308,1,1,other,0.0,0.0077,331
ITFG1,GMP,0.003042,1,1,other,0.0,0.0076,332
MBD5,GMP,0.003022,1,1,other,0.0,0.0076,333
IGFBP7,GMP,0.002985,1,1,other,0.0,0.0075,334
ATP2C1,GMP,0.002982,1,1,other,0.0,0.0075,335
CD24,GMP,0.002943,1,1,other,0.0,0.0074,336
SOS1,GMP,0.00292,1,1,other,0.0,0.0073,337
TYROBP,GMP,0.002913,1,1,other,0.0,0.0073,338
NF1,GMP,0.002857,1,1,other,0.0,0.0071,339
RNASE2,GMP,0.002834,1,1,other,0.0,0.0071,340
BPI,GMP,0.002808,1,1,other,0.0,0.007,341
MANBA,GMP,0.002771,1,1,other,0.0,0.0069,342
IQGAP2,GMP,0.002764,1,1,other,0.0,0.0069,343
LPP,GMP,0.002719,1,1,other,0.0,0.0068,344
APP,GMP,0.00271,1,1,other,0.0,0.0068,345
PKP4,GMP,0.002649,1,1,other,0.0,0.0066,346
TENT2,GMP,0.002642,1,1,other,0.0,0.0066,347
SIL1,GMP,0.002597,1,1,other,0.0,0.0065,348
RPL17,GMP,0.002595,1,1,ribosomal,0.0,0.0118,349
S100A9,GMP,0.002579,1,1,other,0.0,0.0064,350
B4GALT5,GMP,0.002556,1,1,other,0.0,0.0064,351
CDK19,GMP,0.002516,1,1,other,0.0,0.0063,352
LCORL,GMP,0.002514,1,1,other,0.0,0.0063,353
PKD2,GMP,0.002504,1,1,other,0.0,0.0063,354
ULK4,GMP,0.002496,1,1,other,0.0,0.0062,355
GPX1,GMP,0.002486,1,1,other,0.0,0.0062,356
NBAS,GMP,0.002417,1,1,other,0.0,0.006,357
CELF2,GMP,0.002404,1,1,other,0.0,0.006,358
HLA-DRB5,GMP,0.002396,1,1,other,0.0,0.006,359
PCBP3,GMP,0.002393,1,1,other,0.0,0.006,360
PHLPP1,GMP,0.002352,1,1,other,0.0,0.0059,361
NAMPT,GMP,0.002343,1,1,other,0.0,0.0059,362
KIF13A,GMP,0.002334,1,1,other,0.0,0.0058,363
MGAT5,GMP,0.002312,1,1,other,0.0,0.0058,364
PELI2,GMP,0.002296,1,1,other,0.0,0.0057,365
QKI,GMP,0.002285,1,1,other,0.0,0.0057,366
ZSWIM6,GMP,0.002283,1,1,other,0.0,0.0057,367
LINC00278,GMP,0.002279,1,1,other,0.0,0.0057,368
RPS17,GMP,0.002273,1,1,ribosomal,0.0,0.0103,369
ZNF407,GMP,0.002272,1,1,other,0.0,0.0057,370
PRKCE,GMP,0.002269,1,1,other,0.0,0.0057,371
NIBAN1,GMP,0.002256,1,1,other,0.0,0.0056,372
DISC1,GMP,0.002252,1,1,other,0.0,0.0056,373
BEX1,GMP,0.002247,1,1,other,0.0,0.0056,374
OSBPL1A,GMP,0.002247,1,1,other,0.0,0.0056,375
SUMF1,GMP,0.002206,1,1,other,0.0,0.0055,376
SNX29,GMP,0.002176,1,1,other,0.0,0.0054,377
FRY,GMP,0.00214,1,1,other,0.0,0.0053,378
MT-ND4,GMP,0.002101,1,1,mitochondrial,0.0,0.0075,379
ANKHD1,GMP,0.002071,1,1,other,0.0,0.0052,380
MT2A,GMP,0.002066,1,1,other,0.0,0.0052,381
PLXDC2,GMP,0.002059,1,1,other,0.0,0.0051,382
SNHG5,GMP,0.002042,1,1,other,0.0,0.0051,383
HSP90AB1,GMP,0.002019,1,1,other,0.0,0.005,384
RPS10,GMP,0.001996,1,1,ribosomal,0.0,0.0091,385
AOAH,GMP,0.001983,1,1,other,0.0,0.005,386
SCLT1,GMP,0.001979,1,1,other,0.0,0.0049,387
ATAD2,GMP,0.001977,1,1,other,0.0,0.0049,388
TBL1XR1,GMP,0.001948,1,1,other,0.0,0.0049,389
BCAS3,GMP,0.001947,1,1,other,0.0,0.0049,390
PELI1,GMP,0.001946,1,1,other,0.0,0.0049,391
PRIM2,GMP,0.001938,1,1,other,0.0,0.0048,392
AC007952.4,GMP,0.001924,1,1,other,0.0,0.0048,393
SUPT3H,GMP,0.001915,1,1,other,0.0,0.0048,394
FLT3,GMP,0.001913,1,1,other,0.0,0.0048,395
BRIP1,GMP,0.001841,1,1,other,0.0,0.0046,396
PSME4,GMP,0.001828,1,1,other,0.0,0.0046,397
PLD1,GMP,0.001805,1,1,other,0.0,0.0045,398
MRTFA,GMP,0.001805,1,1,other,0.0,0.0045,399
XIST,GMP,0.001805,1,1,other,0.0,0.0045,400
RABGEF1,GMP,0.001785,1,1,other,0.0,0.0045,401
BCL2,GMP,0.001781,1,1,other,0.0,0.0045,402
GLUL,GMP,0.001773,1,1,other,0.0,0.0044,403
RUNX2,GMP,0.001768,1,1,tf,0.0,0.0034,404
PLA2G4A,GMP,0.001767,1,1,other,0.0,0.0044,405
RAPGEF2,GMP,0.001745,1,1,other,0.0,0.0044,406
GPHN,GMP,0.001712,1,1,other,0.0,0.0043,407
ACSM3,GMP,0.001696,1,1,other,0.0,0.0042,408
LINC01619,GMP,0.001678,1,1,other,0.0,0.0042,409
ABCA13,GMP,0.001676,1,1,other,0.0,0.0042,410
COMMD10,GMP,0.00166,1,1,other,0.0,0.0042,411
POU2F1,GMP,0.001627,1,1,other,0.0,0.0041,412
CNTLN,GMP,0.001624,1,1,other,0.0,0.0041,413
SCFD2,GMP,0.001616,1,1,other,0.0,0.004,414
TFDP2,GMP,0.001607,1,1,other,0.0,0.004,415
NAALADL2,GMP,0.001588,1,1,other,0.0,0.004,416
EHBP1,GMP,0.001588,1,1,other,0.0,0.004,417
MXD1,GMP,0.001584,1,1,tf,0.0,0.003,418
CMSS1,GMP,0.001578,1,1,other,0.0,0.0039,419
HSP90AA1,GMP,0.001575,1,1,other,0.0,0.0039,420
PLEK,GMP,0.001505,1,1,other,0.0,0.0038,421
DGKG,GMP,0.001498,1,1,other,0.0,0.0037,422
RETN,GMP,0.001471,1,1,other,0.0,0.0037,423
VPS54,GMP,0.001448,1,1,other,0.0,0.0036,424
GPCPD1,GMP,0.001444,1,1,other,0.0,0.0036,425
ALCAM,GMP,0.00143,1,1,other,0.0,0.0036,426
ABCC1,GMP,0.001402,1,1,other,0.0,0.0035,427
RFX7,GMP,0.001396,1,1,other,0.0,0.0035,428
BTBD9,GMP,0.001387,1,1,other,0.0,0.0035,429
STK3,GMP,0.001376,1,1,other,0.0,0.0034,430
LGALS1,GMP,0.001369,1,1,other,0.0,0.0034,431
TFRC,GMP,0.001351,1,1,other,0.0,0.0034,432
ZRANB3,GMP,0.001351,1,1,other,0.0,0.0034,433
SESN3,GMP,0.001336,1,1,other,0.0,0.0033,434
APLP2,GMP,0.001324,1,1,other,0.0,0.0033,435
