gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
CTCF,CD8+ T,0.765346,1,2,tf,0.9812,0.0,1
CEBPB,CD8+ T,0.721886,1,2,tf,0.9255,0.0,2
SPI1,CD8+ T,0.714725,1,2,tf,0.9163,0.0,3
RAD21,CD8+ T,0.665144,1,2,tf,0.8527,0.0,4
USF1,CD8+ T,0.665144,1,2,tf,0.8527,0.0,5
JUND,CD8+ T,0.65488,2,2,tf,0.8259,0.0206,6
TAF1,CD8+ T,0.651155,1,2,tf,0.8348,0.0,7
YY1,CD8+ T,0.651155,1,2,tf,0.8348,0.0,8
MYC,CD8+ T,0.644186,1,2,tf,0.8259,0.0,9
TBP,CD8+ T,0.644186,1,2,tf,0.8259,0.0,10
NFKB1,CD8+ T,0.63032,1,2,tf,0.8081,0.0,11
SMC3,CD8+ T,0.616522,1,2,tf,0.7904,0.0,12
EGR1,CD8+ T,0.609654,1,2,tf,0.7816,0.0,13
MAX,CD8+ T,0.609654,1,2,tf,0.7816,0.0,14
POL2,CD8+ T,0.6,1,2,other,1.0,0.0,15
PAX5,CD8+ T,0.582346,1,2,tf,0.7466,0.0,16
EBF1,CD8+ T,0.5688,1,2,tf,0.7292,0.0,17
HEY1,CD8+ T,0.5688,1,2,tf,0.7292,0.0,18
FOXA1,CD8+ T,0.562049,1,2,tf,0.7206,0.0,19
TCF12,CD8+ T,0.555322,1,2,tf,0.712,0.0,20
FOS,CD8+ T,0.548609,1,2,tf,0.7033,0.0,21
STAT3,CD8+ T,0.541912,1,2,tf,0.6948,0.0,22
POLR2A,CD8+ T,0.533349,1,2,other,0.8889,0.0,23
GATA2,CD8+ T,0.521923,1,2,tf,0.6691,0.0,24
ELF1,CD8+ T,0.511649,1,2,other,0.8527,0.0,25
MAFK,CD8+ T,0.502073,1,2,tf,0.6437,0.0,26
SP1,CD8+ T,0.484861,1,2,other,0.8081,0.0,27
USF2,CD8+ T,0.475838,1,2,tf,0.61,0.0,28
IRF1,CD8+ T,0.475838,1,2,tf,0.61,0.0,29
GATA1,CD8+ T,0.469317,1,2,tf,0.6017,0.0,30
E2F1,CD8+ T,0.469317,1,2,tf,0.6017,0.0,31
JUN,CD8+ T,0.468049,2,2,tf,0.585,0.0226,32
REST,CD8+ T,0.447958,1,2,other,0.7466,0.0,33
EP300,CD8+ T,0.447958,1,2,other,0.7466,0.0,34
POU2F2,CD8+ T,0.447958,1,2,other,0.7466,0.0,35
E2F6,CD8+ T,0.437538,1,2,other,0.7292,0.0,36
SIN3A,CD8+ T,0.437538,1,2,other,0.7292,0.0,37
ZNF263,CD8+ T,0.427171,1,2,other,0.712,0.0,38
