gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
SOS1,CD4+ T,0.007487,1,3,other,0.0,0.0187,174
IGHA1,CD4+ T,0.007406,1,3,immunoglobulin,0.0,0.0337,175
BDP1,CD4+ T,0.0073,1,3,other,0.0122,0.0,176
DUT,CD4+ T,0.007097,1,3,other,0.0,0.0177,177
RP11-1143G9.4,CD4+ T,0.006937,1,3,other,0.0,0.0173,178
TBC1D5,CD4+ T,0.00685,1,3,other,0.0,0.0171,179
ATP5F1A,CD4+ T,0.006801,1,3,other,0.0,0.017,180
SERPINB1,CD4+ T,0.006551,1,3,other,0.0,0.0164,181
NR4A1,CD4+ T,0.006522,1,3,other,0.0109,0.0,182
PCLAF,CD4+ T,0.006514,1,3,other,0.0,0.0163,183
RPL13A,CD4+ T,0.006411,1,3,ribosomal,0.0,0.0291,184
ATP5MF,CD4+ T,0.006394,1,3,other,0.0,0.016,185
ELOB,CD4+ T,0.006359,1,3,other,0.0,0.0159,186
WWOX,CD4+ T,0.006351,1,3,other,0.0,0.0159,187
ZBTB20,CD4+ T,0.00631,1,3,other,0.0,0.0158,188
HMGB1,CD4+ T,0.006078,1,3,other,0.0,0.0152,189
S100A9,CD4+ T,0.00599,1,3,other,0.0,0.015,190
ATP5ME,CD4+ T,0.00591,1,3,other,0.0,0.0148,191
MED12L,CD4+ T,0.005899,1,3,other,0.0,0.0147,192
STMN1,CD4+ T,0.005848,1,3,other,0.0,0.0146,193
ATP5PF,CD4+ T,0.005845,1,3,other,0.0,0.0146,194
PLXDC2,CD4+ T,0.005841,1,3,other,0.0,0.0146,195
ARL15,CD4+ T,0.005819,1,3,other,0.0,0.0145,196
PAN3,CD4+ T,0.00577,1,3,other,0.0,0.0144,197
ST8SIA6,CD4+ T,0.005606,1,3,other,0.0,0.014,198
ATP5PO,CD4+ T,0.005393,1,3,other,0.0,0.0135,199
ANKRD28,CD4+ T,0.005384,1,3,other,0.0,0.0135,200
MAML3,CD4+ T,0.005359,1,3,other,0.0,0.0134,201
FHIT,CD4+ T,0.005356,1,3,other,0.0,0.0134,202
IGLC3,CD4+ T,0.005343,1,3,immunoglobulin,0.0,0.0243,203
IGLC2,CD4+ T,0.005337,1,3,immunoglobulin,0.0,0.0243,204
MT-CO3,CD4+ T,0.005284,1,3,mitochondrial,0.0,0.0189,205
RPL7,CD4+ T,0.005195,1,3,ribosomal,0.0,0.0236,206
SEPTIN7,CD4+ T,0.005109,1,3,other,0.0,0.0128,207
MAP3K5,CD4+ T,0.005011,1,3,other,0.0,0.0125,208
ZFAND3,CD4+ T,0.005003,1,3,other,0.0,0.0125,209
