gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
SSH2,B,0.001551,1,1,other,0.0,0.0039,167
HBM,B,0.001543,1,1,hemoglobin,0.0,0.0086,168
MT-CO3,B,0.001462,1,1,mitochondrial,0.0,0.0052,169
UVRAG,B,0.001454,1,1,other,0.0,0.0036,170
IGHD,B,0.00143,1,1,immunoglobulin,0.0,0.0065,171
STMN1,B,0.001395,1,1,other,0.0,0.0035,172
LINC01578,B,0.001369,1,1,other,0.0,0.0034,173
BASP1,B,0.001308,1,1,other,0.0,0.0033,174
COBLL1,B,0.001294,1,1,other,0.0,0.0032,175
CA1,B,0.001254,1,1,other,0.0,0.0031,176
IGLV3-19,B,0.001235,1,1,immunoglobulin,0.0,0.0056,177
EEF1G,B,0.0012,1,1,other,0.0,0.003,178
GAS5,B,0.001188,1,1,other,0.0,0.003,179
PRDX2,B,0.001142,1,1,other,0.0,0.0029,180
RPL36A,B,0.001128,1,1,ribosomal,0.0,0.0051,181
HIF1A,B,0.001109,1,1,tf,0.0,0.0021,182
JMJD1C,B,0.001076,1,1,other,0.0,0.0027,183
AC079767.4,B,0.001075,1,1,other,0.0,0.0027,184
PDE4B,B,0.000938,1,1,other,0.0,0.0023,185
CD83,B,0.000922,1,1,other,0.0,0.0023,186
MS4A1,B,0.000906,1,1,other,0.0,0.0023,187
BCL2,B,0.000838,1,1,other,0.0,0.0021,188
ADAM28,B,0.000814,1,1,other,0.0,0.002,189
ZBTB20,B,0.000811,1,1,other,0.0,0.002,190
RPL27A,B,0.000788,1,1,ribosomal,0.0,0.0036,191
ARHGAP15,B,0.000768,1,1,other,0.0,0.0019,192
NME2,B,0.000755,1,1,other,0.0,0.0019,193
RPS20,B,0.000738,1,1,ribosomal,0.0,0.0034,194
CCL5,B,0.000722,1,1,other,0.0,0.0018,195
TNFAIP3,B,0.000679,1,1,other,0.0,0.0017,196
SOX4,B,0.000676,1,1,tf,0.0,0.0013,197
GNLY,B,0.000673,1,1,other,0.0,0.0017,198
BLVRB,B,0.000673,1,1,other,0.0,0.0017,199
NEAT1,B,0.00067,1,1,other,0.0,0.0017,200
AC103591.3,B,0.000663,1,1,other,0.0,0.0017,201
ATP2B1,B,0.00066,1,1,other,0.0,0.0016,202
FAM49A,B,0.000635,1,1,other,0.0,0.0016,203
IGHA1,B,0.000623,1,1,immunoglobulin,0.0,0.0028,204
S100A10,B,0.000612,1,1,other,0.0,0.0015,205
RPS29,B,0.000587,1,1,ribosomal,0.0,0.0027,206
SNHG29,B,0.000569,1,1,other,0.0,0.0014,207
ZNF331,B,0.000561,1,1,other,0.0,0.0014,208
RABGAP1L,B,0.000548,1,1,other,0.0,0.0014,209
RPS10,B,0.00052,1,1,ribosomal,0.0,0.0024,210
ANXA2,B,0.00049,1,1,other,0.0,0.0012,211
ELANE,B,0.000453,1,1,other,0.0,0.0011,212
HLA-DQA2,B,0.000449,1,1,other,0.0,0.0011,213
GRN,B,0.000442,1,1,other,0.0,0.0011,214
KMT2C,B,0.000431,1,1,other,0.0,0.0011,215
FTH1,B,0.000431,1,1,other,0.0,0.0011,216
HLA-DQB1,B,0.000418,1,1,other,0.0,0.001,217
SNHG6,B,0.000416,1,1,other,0.0,0.001,218
NOP53,B,0.00041,1,1,other,0.0,0.001,219
ZC3HAV1,B,0.000401,1,1,other,0.0,0.001,220
PMAIP1,B,0.000396,1,1,other,0.0,0.001,221
CDK14,B,0.000394,1,1,other,0.0,0.001,222
TUBA1B,B,0.000377,1,1,other,0.0,0.0009,223
VPREB1,B,0.000374,1,1,other,0.0,0.0009,224
MT2A,B,0.000372,1,1,other,0.0,0.0009,225
LYN,B,0.000361,1,1,other,0.0,0.0009,226
BRAF,B,0.000324,1,1,other,0.0,0.0008,227
ELL2,B,0.000324,1,1,other,0.0,0.0008,228
ATP5F1E,B,0.000323,1,1,other,0.0,0.0008,229
NR4A2,B,0.000318,1,1,other,0.0,0.0008,230
RP11-731F5.2,B,0.000315,1,1,other,0.0,0.0008,231
FCER2,B,0.000311,1,1,other,0.0,0.0008,232
HLA-DRA,B,0.000293,1,1,other,0.0,0.0007,233
HMGB2,B,0.000285,1,1,other,0.0,0.0007,234
TBC1D5,B,0.000284,1,1,other,0.0,0.0007,235
AC058791.1,B,0.000282,1,1,other,0.0,0.0007,236
RAB11FIP1,B,0.000281,1,1,other,0.0,0.0007,237
CST3,B,0.00028,1,1,other,0.0,0.0007,238
ETV6,B,0.000275,1,1,tf,0.0,0.0005,239
SIK3,B,0.000258,1,1,other,0.0,0.0006,240
CRIP1,B,0.000251,1,1,other,0.0,0.0006,241
CELF2,B,0.000244,1,1,other,0.0,0.0006,242
CEMIP2,B,0.000243,1,1,other,0.0,0.0006,243
MBNL1,B,0.000241,1,1,other,0.0,0.0006,244
RAPGEF1,B,0.000239,1,1,other,0.0,0.0006,245
DOCK10,B,0.000214,1,1,other,0.0,0.0005,246
FCHSD2,B,0.000213,1,1,other,0.0,0.0005,247
ELMO1,B,0.000212,1,1,other,0.0,0.0005,248
DOCK8,B,0.000203,1,1,other,0.0,0.0005,249
IGLL5,B,0.000203,1,1,immunoglobulin,0.0,0.0009,250
ARIH1,B,0.000189,1,1,other,0.0,0.0005,251
MGAT5,B,0.000189,1,1,other,0.0,0.0005,252
IGHV3-21,B,0.000177,1,1,immunoglobulin,0.0,0.0008,253
SEPTIN7,B,0.000177,1,1,other,0.0,0.0004,254
IGLL1,B,0.000171,1,1,immunoglobulin,0.0,0.0008,255
ARID1B,B,0.000164,1,1,other,0.0,0.0004,256
SELENOK,B,0.000162,1,1,other,0.0,0.0004,257
PLEK,B,0.000158,1,1,other,0.0,0.0004,258
LINC01619,B,0.000155,1,1,other,0.0,0.0004,259
INPP5D,B,0.000147,1,1,other,0.0,0.0004,260
CALR,B,0.000147,1,1,other,0.0,0.0004,261
IGLV2-8,B,0.000134,1,1,immunoglobulin,0.0,0.0006,262
PSAP,B,0.000129,1,1,other,0.0,0.0003,263
DENND4A,B,0.000128,1,1,other,0.0,0.0003,264
LGALS1,B,0.000123,1,1,other,0.0,0.0003,265
MARCH1,B,9.5e-05,1,1,other,0.0,0.0002,266
LRBA,B,7.6e-05,1,1,other,0.0,0.0002,267
RP11-290D2.6,B,7.5e-05,1,1,other,0.0,0.0002,268
DUSP2,B,7.3e-05,1,1,other,0.0,0.0002,269
BRI3,B,6.1e-05,1,1,other,0.0,0.0002,270
CNOT6L,B,6e-05,1,1,other,0.0,0.0001,271
ATF7IP2,B,5.8e-05,1,1,other,0.0,0.0001,272
RPS2,B,5.3e-05,1,1,ribosomal,0.0,0.0002,273
MED13L,B,4.6e-05,1,1,other,0.0,0.0001,274
S100A11,B,4.6e-05,1,1,other,0.0,0.0001,275
PPP1R16B,B,4.1e-05,1,1,other,0.0,0.0001,276
SYK,B,3.1e-05,1,1,other,0.0,0.0001,277
PPP3CA,B,1.9e-05,1,1,other,0.0,0.0,278
OSBPL10,B,1e-05,1,1,other,0.0,0.0,279
SREBF2,B,0.0,0,1,other,0.0,0.0,280
AUTS2,B,0.0,0,1,other,0.0,0.0,281
POLR3G,B,0.0,0,1,other,0.0,0.0,282
