gene,driver_score,evidence_count,gene_category,category_multiplier,geneWeight_norm,geneWeight_raw,DREM_norm,DREM_raw,DREM_trajectories,dynamic_norm,dynamic_qval,dynamic_log2fc,dynamic_track_count,dynamic_direction,network_norm,is_HC_marker,is_MFVS_driver,rank
NR5A2,0.156627,2,tf,1.3,0.2596,0.500761,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.1092,False,False,568
TMEM176B,0.156586,3,other,1.0,0.2661,0.513342,0.0,0.0,0,0.1611,0.0,0.6042,1,increasing,0.0368,False,False,569
EGR2,0.156566,2,tf,1.3,0.2391,0.461751,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.1905,False,False,570
TOMM6,0.156379,3,other,1.0,0.3196,0.615377,0.0,0.0,0,0.0017,2.3691151385220868e-09,0.2006,1,increasing,0.1399,False,False,571
PGLYRP1,0.156156,3,other,1.0,0.2584,0.498583,0.0,0.0,0,0.1736,0.0,0.5953,2,increasing,0.0387,False,False,572
SYNGR1,0.155298,3,other,1.0,0.2769,0.533822,0.0,0.0,0,0.1106,0.0,0.3465,2,increasing,0.0832,False,False,573
HCK,0.154889,3,other,1.0,0.3388,0.651971,0.0,0.0,0,0.0002,0.009905553522777605,0.1031,3,increasing,0.0527,False,False,574
NR1H4,0.154727,2,tf,1.3,0.2593,0.500211,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.0965,False,False,575
HMBS,0.154687,3,other,1.0,0.3002,0.578343,0.0,0.0,0,0.0077,9.868431910639764e-15,0.6267,1,decreasing,0.1902,False,False,576
CFD,0.154565,3,other,1.0,0.3289,0.633081,0.0,0.0,0,0.0003,0.0009870726937286772,0.1239,1,increasing,0.0891,False,False,577
DUSP6,0.154342,3,other,1.0,0.3141,0.604809,0.0,0.0,0,0.0005,0.003085609373371356,0.2069,2,decreasing,0.1459,False,False,578
RBM47,0.154326,3,other,1.0,0.3224,0.620709,0.0,0.0,0,0.0003,0.001869032223689022,0.1171,2,increasing,0.1129,False,False,579
NPAS3,0.154188,2,tf,1.3,0.2634,0.508022,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.0761,False,False,580
CD302,0.154121,3,other,1.0,0.3359,0.6466,0.0,0.0,0,0.0001,0.029928372211591774,0.141,1,decreasing,0.0571,False,False,581
EMCN,0.153957,3,other,1.0,0.2943,0.567108,0.0,0.0,0,0.0965,0.0,0.3275,1,increasing,0.0294,False,False,582
FIBCD1,0.153315,2,other,1.0,0.2593,0.500316,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.4228,False,False,583
BNIP3L,0.153261,3,other,1.0,0.3079,0.59313,0.0,0.0,0,0.0104,4.048639438876919e-17,0.6792,2,decreasing,0.1406,False,False,584
HIST1H3D,0.153169,3,other,1.0,0.2755,0.531248,0.0,0.0,0,0.0001,0.02147007059222479,0.0898,1,increasing,0.2902,False,False,585
CPVL,0.153151,2,other,1.0,0.3473,0.668243,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.0695,False,False,586
PGR,0.152908,2,tf,1.3,0.2596,0.500919,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.0816,False,False,587
NFIA,0.152895,3,other,1.0,0.3072,0.59177,0.0,0.0,0,0.0041,1.39833434130336e-12,0.2999,3,decreasing,0.1529,False,False,588
CD9,0.152813,3,other,1.0,0.3236,0.623057,0.0,0.0,0,0.0003,0.009330625447829791,0.1379,3,increasing,0.0942,False,False,589
ANKHD1,0.152806,3,other,1.0,0.298,0.574125,0.0,0.0,0,0.0051,9.036146756574803e-16,0.2932,3,increasing,0.187,False,False,590
RALGPS2,0.152615,3,other,1.0,0.3252,0.626099,0.0,0.0,0,0.0021,6.1418260953262555e-09,0.2195,3,increasing,0.0824,False,False,591
SNCA,0.15209,3,other,1.0,0.3079,0.593108,0.0,0.0,0,0.0326,4.9603670268977494e-34,0.9718,4,decreasing,0.0857,False,False,592
MT1E,0.152036,3,other,1.0,0.3235,0.622768,0.0,0.0,0,0.0005,0.0006613273431638866,0.1478,4,increasing,0.0872,False,False,593
PFKFB3,0.151893,3,other,1.0,0.3157,0.607954,0.0,0.0,0,0.0001,0.016872995907345617,0.0953,3,increasing,0.1178,False,False,594
HIST1H1C,0.151805,3,other,1.0,0.285,0.549296,0.0,0.0,0,0.003,3.0534729619567416e-11,0.2448,3,increasing,0.2341,False,False,595
MS4A6A,0.151762,3,other,1.0,0.3324,0.639882,0.0,0.0,0,0.0011,9.558106483817695e-07,0.1869,1,increasing,0.0478,False,False,596
B4GALT5,0.151542,3,other,1.0,0.3074,0.592188,0.0,0.0,0,0.0024,2.499800021303776e-09,0.2447,3,increasing,0.143,False,False,597
ACSL1,0.1515,3,other,1.0,0.2991,0.576306,0.0,0.0,0,0.0035,2.7309358478314985e-12,0.2569,3,increasing,0.1739,False,False,598
ATP8B4,0.15149,3,mitochondrial,0.7,0.3637,0.699641,0.0,0.0,0,0.2404,0.0,0.7403,4,increasing,0.0318,False,False,599
GPCPD1,0.15135,3,other,1.0,0.3029,0.583443,0.0,0.0,0,0.0013,1.0995436376528354e-05,0.2171,4,decreasing,0.1618,False,False,600
CA1,0.150743,3,other,1.0,0.3017,0.581201,0.0,0.0,0,0.0431,2.3610255218286716e-33,0.9615,9,decreasing,0.0775,False,False,601
WDFY2,0.150689,3,other,1.0,0.3043,0.586099,0.0,0.0,0,0.0046,8.384302582150133e-15,0.2836,3,increasing,0.1436,False,False,602
C5AR1,0.150674,3,other,1.0,0.3287,0.632796,0.0,0.0,0,0.0004,0.0003930370215665082,0.1399,1,increasing,0.0541,False,False,603
CCDC88A,0.150671,3,other,1.0,0.2954,0.569144,0.0,0.0,0,0.0004,0.00032603974479097534,0.1231,2,increasing,0.1874,False,False,604
FBXW7,0.15054,3,other,1.0,0.2963,0.570818,0.0,0.0,0,0.0023,4.2562412603373135e-09,0.2155,4,increasing,0.179,False,False,605
BANK1,0.150509,3,other,1.0,0.319,0.614308,0.0,0.0,0,0.0029,2.9322840452058094e-12,0.257,1,increasing,0.0863,False,False,606
PDLIM1,0.150494,3,other,1.0,0.3152,0.606989,0.0,0.0,0,0.0011,6.880071209267507e-07,0.1686,2,increasing,0.1051,False,False,607
ALAS2,0.150473,3,other,1.0,0.3098,0.596697,0.0,0.0,0,0.0366,4.597109261970251e-44,1.1078,1,decreasing,0.0554,False,False,608
SLCO3A1,0.150387,3,other,1.0,0.315,0.606605,0.0,0.0,0,0.0042,8.038661430145138e-14,0.2734,3,increasing,0.0989,False,False,609
NRF1,0.150298,2,other,1.0,0.0,0.0,0.328,680.9905,81,0.0,1.0,0.0,0,N/A,0.6114,False,True,610
IGLC2,0.150035,3,immunoglobulin,0.55,0.6082,1.166457,0.0,0.0,0,0.0208,1.047579673345414e-20,0.7522,8,decreasing,0.0055,False,False,611
PITPNC1,0.150022,3,other,1.0,0.3057,0.588873,0.0,0.0,0,0.0041,1.938377416460261e-14,0.2799,2,increasing,0.1328,False,False,612
ANPEP,0.149783,3,other,1.0,0.3172,0.610816,0.0,0.0,0,0.0002,0.003547693185776411,0.1163,2,increasing,0.0924,False,False,613
ARNT2,0.149736,2,tf,1.3,0.2601,0.50175,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.0567,False,False,614
DENND5A,0.14968,3,other,1.0,0.311,0.598917,0.0,0.0,0,0.0053,2.2233676887888004e-15,0.2895,4,increasing,0.1063,False,False,615
TFDP2,0.149667,3,other,1.0,0.311,0.599017,0.0,0.0,0,0.0051,2.51577088359229e-14,0.3009,4,decreasing,0.1064,False,False,616
CD36,0.149663,3,other,1.0,0.3251,0.62596,0.0,0.0,0,0.0009,0.0007221643539230425,0.2776,2,decreasing,0.0583,False,False,617
IER3,0.149461,2,other,1.0,0.3119,0.600741,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.1757,False,False,618
FUT8,0.149376,3,other,1.0,0.2992,0.576379,0.0,0.0,0,0.0042,6.465705449988751e-14,0.2745,3,increasing,0.1529,False,False,619
ATP1B3,0.149358,3,other,1.0,0.2984,0.574873,0.0,0.0,0,0.0005,0.0002446748522246026,0.1403,3,increasing,0.1632,False,False,620
HEMGN,0.14933,3,other,1.0,0.2992,0.576478,0.0,0.0,0,0.039,4.386686279164615e-46,1.1336,1,decreasing,0.0827,False,False,621
APP,0.149288,3,other,1.0,0.3025,0.58277,0.0,0.0,0,0.0024,2.7646459849560875e-10,0.2333,2,increasing,0.1423,False,False,622
ARL4A,0.14924,3,other,1.0,0.2894,0.55767,0.0,0.0,0,0.0026,4.5362447334975423e-07,0.4155,2,decreasing,0.194,False,False,623
NME1,0.149175,3,other,1.0,0.2891,0.557255,0.0,0.0,0,0.0009,9.946792842179116e-06,0.1506,3,increasing,0.1978,False,False,624
LIMS1,0.149116,3,other,1.0,0.2964,0.571054,0.0,0.0,0,0.0011,9.328288577244958e-07,0.1666,2,increasing,0.168,False,False,625
TNIK,0.149113,3,other,1.0,0.3032,0.584089,0.0,0.0,0,0.0048,4.61682908054505e-16,0.2956,2,increasing,0.1331,False,False,626
HLA-DMA,0.148891,3,other,1.0,0.3161,0.608805,0.0,0.0,0,0.0004,0.011947060073591939,0.2355,1,decreasing,0.0882,False,False,627
ATP1B1,0.148683,3,other,1.0,0.2908,0.56034,0.0,0.0,0,0.0045,2.6402491304367004e-15,0.2887,2,increasing,0.1796,False,False,628
VCL,0.148552,3,other,1.0,0.3024,0.582514,0.0,0.0,0,0.0015,3.445935821482227e-05,0.3083,3,increasing,0.1379,False,False,629
TLR2,0.148238,3,other,1.0,0.3228,0.621569,0.0,0.0,0,0.0001,0.012492637156262986,0.0997,1,increasing,0.0561,False,False,630
KLF12,0.148195,3,other,1.0,0.3021,0.581977,0.0,0.0,0,0.0041,3.5020921108383174e-15,0.2874,1,increasing,0.1307,False,False,631
FLT3,0.14819,3,other,1.0,0.2609,0.503319,0.0,0.0,0,0.1213,0.0,0.3859,2,increasing,0.061,False,False,632
CD79A,0.147941,2,other,1.0,0.3189,0.614115,0.0,0.0,0,0.0,1.0,0.0,0,N/A,0.1332,False,False,633
SCLT1,0.147929,3,other,1.0,0.3063,0.589914,0.0,0.0,0,0.0043,3.671576074720863e-14,0.277,3,increasing,0.1112,False,False,634
RFX2,0.147873,3,other,1.0,0.3054,0.588278,0.0,0.0,0,0.0054,2.359999222736715e-16,0.2984,3,increasing,0.1119,False,False,635
FABP5,0.14787,3,other,1.0,0.3081,0.593422,0.0,0.0,0,0.0027,2.359315819634188e-09,0.2732,3,increasing,0.1065,False,False,636
ZMYND8,0.147788,3,other,1.0,0.2932,0.565086,0.0,0.0,0,0.0037,8.964784366804931e-13,0.2622,3,increasing,0.1632,False,False,637
ZFHX3,0.14762,3,other,1.0,0.2886,0.556156,0.0,0.0,0,0.0006,3.704725256923826e-05,0.1567,1,increasing,0.1864,False,False,638
CSTA,0.147576,3,other,1.0,0.3213,0.618567,0.0,0.0,0,0.0017,1.6501574289256375e-05,0.3134,3,decreasing,0.0532,False,False,639
LCN2,0.147422,3,other,1.0,0.2944,0.567263,0.0,0.0,0,0.0003,0.007600907540731208,0.1889,1,increasing,0.162,False,False,640
IGF1R,0.147377,3,other,1.0,0.2904,0.559715,0.0,0.0,0,0.0022,2.838020472370303e-09,0.2204,3,increasing,0.1737,False,False,641
TFRC,0.147375,3,other,1.0,0.2944,0.567372,0.0,0.0,0,0.0014,1.6975875988508706e-05,0.2593,3,decreasing,0.1592,False,False,642
TBL1XR1,0.147302,3,other,1.0,0.2861,0.55144,0.0,0.0,0,0.0012,1.1669630207875082e-06,0.1801,3,increasing,0.1923,False,False,643
ST3GAL3,0.147196,3,other,1.0,0.2979,0.574014,0.0,0.0,0,0.0054,2.340387040830316e-16,0.299,3,increasing,0.1356,False,False,644
STXBP2,0.147147,3,other,1.0,0.3121,0.601155,0.0,0.0,0,0.0005,0.0027430365079279375,0.208,1,decreasing,0.0882,False,False,645
