gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
LMO2,Monocyte,0.000481,1,1,tf,0.0,0.0009,254
SAMSN1,Monocyte,0.000475,1,1,other,0.0,0.0012,255
APOBEC3A,Monocyte,0.000474,1,1,other,0.0,0.0012,256
GNLY,Monocyte,0.000454,1,1,other,0.0,0.0011,257
PRDX2,Monocyte,0.000446,1,1,other,0.0,0.0011,258
MPEG1,Monocyte,0.000441,1,1,other,0.0,0.0011,259
AC007952.4,Monocyte,0.000439,1,1,other,0.0,0.0011,260
SERPINB1,Monocyte,0.000424,1,1,other,0.0,0.0011,261
AOAH,Monocyte,0.000424,1,1,other,0.0,0.0011,262
LILRA5,Monocyte,0.000424,1,1,other,0.0,0.0011,263
PELI1,Monocyte,0.000423,1,1,other,0.0,0.0011,264
ETS2,Monocyte,0.000407,1,1,other,0.0,0.001,265
ZFAND3,Monocyte,0.000406,1,1,other,0.0,0.001,266
MBNL1,Monocyte,0.000405,1,1,other,0.0,0.001,267
HSPA1A,Monocyte,0.00039,1,1,other,0.0,0.001,268
MXD1,Monocyte,0.000374,1,1,tf,0.0,0.0007,269
PLBD1,Monocyte,0.000366,1,1,other,0.0,0.0009,270
ANPEP,Monocyte,0.000337,1,1,other,0.0,0.0008,271
PSMA2,Monocyte,0.000332,1,1,other,0.0,0.0008,272
HSPA1B,Monocyte,0.00033,1,1,other,0.0,0.0008,273
DEFA3,Monocyte,0.000329,1,1,other,0.0,0.0008,274
FCGR3A,Monocyte,0.00032,1,1,other,0.0,0.0008,275
ATP5F1D,Monocyte,0.000304,1,1,other,0.0,0.0008,276
SNHG9,Monocyte,0.000299,1,1,other,0.0,0.0007,277
TBXAS1,Monocyte,0.000299,1,1,other,0.0,0.0007,278
H2AFZ,Monocyte,0.000291,1,1,other,0.0,0.0007,279
TUBA1B,Monocyte,0.000291,1,1,other,0.0,0.0007,280
ATP5MD,Monocyte,0.00029,1,1,other,0.0,0.0007,281
AC253572.2,Monocyte,0.000287,1,1,other,0.0,0.0007,282
RP11-1143G9.4,Monocyte,0.000279,1,1,other,0.0,0.0007,283
TNFAIP3,Monocyte,0.00027,1,1,other,0.0,0.0007,284
RBM47,Monocyte,0.000269,1,1,other,0.0,0.0007,285
HSP90AA1,Monocyte,0.000261,1,1,other,0.0,0.0007,286
NAMPT,Monocyte,0.000258,1,1,other,0.0,0.0006,287
DLEU2,Monocyte,0.000256,1,1,other,0.0,0.0006,288
ATG7,Monocyte,0.000227,1,1,other,0.0,0.0006,289
SNX29,Monocyte,0.000227,1,1,other,0.0,0.0006,290
PLCG2,Monocyte,0.000214,1,1,other,0.0,0.0005,291
LINC01272,Monocyte,0.000213,1,1,other,0.0,0.0005,292
FCHSD2,Monocyte,0.000209,1,1,other,0.0,0.0005,293
RBP7,Monocyte,0.000205,1,1,other,0.0,0.0005,294
CD302,Monocyte,0.000203,1,1,other,0.0,0.0005,295
CD9,Monocyte,0.000202,1,1,other,0.0,0.0005,296
HBG2,Monocyte,0.000199,1,1,hemoglobin,0.0,0.0011,297
HCK,Monocyte,0.000194,1,1,other,0.0,0.0005,298
FNDC3B,Monocyte,0.000185,1,1,other,0.0,0.0005,299
SNHG6,Monocyte,0.000181,1,1,other,0.0,0.0005,300
BLVRB,Monocyte,0.000178,1,1,other,0.0,0.0004,301
PPBP,Monocyte,0.000175,1,1,other,0.0,0.0004,302
CTNNB1,Monocyte,0.000172,1,1,other,0.0,0.0004,303
LTB,Monocyte,0.000172,1,1,other,0.0,0.0004,304
TRIR,Monocyte,0.000171,1,1,other,0.0,0.0004,305
AC103591.3,Monocyte,0.000168,1,1,other,0.0,0.0004,306
TLR2,Monocyte,0.000163,1,1,other,0.0,0.0004,307
CHST11,Monocyte,0.000163,1,1,other,0.0,0.0004,308
MPP1,Monocyte,0.000159,1,1,other,0.0,0.0004,309
HMGB2,Monocyte,0.000149,1,1,other,0.0,0.0004,310
CD68,Monocyte,0.000141,1,1,other,0.0,0.0004,311
ARL4A,Monocyte,0.000138,1,1,other,0.0,0.0003,312
H2AFY,Monocyte,0.00013,1,1,other,0.0,0.0003,313
PFKFB3,Monocyte,0.000125,1,1,other,0.0,0.0003,314
SYK,Monocyte,0.000121,1,1,other,0.0,0.0003,315
MAML3,Monocyte,0.000121,1,1,other,0.0,0.0003,316
LINC01619,Monocyte,0.00012,1,1,other,0.0,0.0003,317
ATP5PB,Monocyte,0.000112,1,1,other,0.0,0.0003,318
ADAMTSL4-AS1,Monocyte,0.000111,1,1,other,0.0,0.0003,319
IRAK3,Monocyte,0.00011,1,1,other,0.0,0.0003,320
HIST1H4C,Monocyte,0.000107,1,1,other,0.0,0.0003,321
CDKN1C,Monocyte,0.000107,1,1,other,0.0,0.0003,322
RNASE1,Monocyte,0.000106,1,1,other,0.0,0.0003,323
TUBB,Monocyte,0.000103,1,1,other,0.0,0.0003,324
MT1X,Monocyte,7.9e-05,1,1,other,0.0,0.0002,325
PLXDC2,Monocyte,7.3e-05,1,1,other,0.0,0.0002,326
ZSWIM6,Monocyte,7.1e-05,1,1,other,0.0,0.0002,327
IGHG1,Monocyte,6.7e-05,1,1,immunoglobulin,0.0,0.0003,328
DMXL2,Monocyte,5.2e-05,1,1,other,0.0,0.0001,329
DIAPH2,Monocyte,5.2e-05,1,1,other,0.0,0.0001,330
SIK3,Monocyte,5.2e-05,1,1,other,0.0,0.0001,331
PLCB1,Monocyte,5e-05,1,1,other,0.0,0.0001,332
EXOC4,Monocyte,5e-05,1,1,other,0.0,0.0001,333
FOXO3,Monocyte,4.1e-05,1,1,tf,0.0,0.0001,334
DOCK4,Monocyte,3.3e-05,1,1,other,0.0,0.0001,335
PTPRJ,Monocyte,3.3e-05,1,1,other,0.0,0.0001,336
SPIDR,Monocyte,2.8e-05,1,1,other,0.0,0.0001,337
DENND1A,Monocyte,2.7e-05,1,1,other,0.0,0.0001,338
TNNT1,Monocyte,2.3e-05,1,1,other,0.0,0.0001,339
DOCK8,Monocyte,2.2e-05,1,1,other,0.0,0.0001,340
CYBB,Monocyte,1.7e-05,1,1,other,0.0,0.0,341
ARHGAP15,Monocyte,1.6e-05,1,1,other,0.0,0.0,342
SLC25A37,Monocyte,1.6e-05,1,1,other,0.0,0.0,343
MANBA,Monocyte,6e-06,1,1,other,0.0,0.0,344
ARL15,Monocyte,0.0,0,1,other,0.0,0.0,345
NR4A1,Monocyte,0.0,0,1,other,0.0,0.0,346
