gene,celltype,driver_score,evidence_count,n_trajectories,gene_category,DREM_score,dynamic_score,rank
BCAT1,Eryp,0.000117,1,2,other,0.0,0.0003,630
BAZ2B,Eryp,0.000117,1,2,other,0.0,0.0003,631
CAMP,Eryp,0.000116,1,2,other,0.0,0.0003,632
ZSWIM6,Eryp,0.000116,1,2,other,0.0,0.0003,633
LINC00570,Eryp,0.000116,1,2,other,0.0,0.0003,634
MT-ND4,Eryp,0.000115,1,2,mitochondrial,0.0,0.0004,635
HIST1H1B,Eryp,0.000114,1,2,other,0.0,0.0003,636
CHRM3,Eryp,0.000113,1,2,other,0.0,0.0003,637
MLLT3,Eryp,0.000112,1,2,other,0.0,0.0003,638
RPS6KC1,Eryp,0.00011,1,2,ribosomal,0.0,0.0005,639
LCORL,Eryp,0.00011,1,2,other,0.0,0.0003,640
HIST1H2AJ,Eryp,0.00011,1,2,other,0.0,0.0003,641
SELENOK,Eryp,0.000107,1,2,other,0.0,0.0003,642
ALDH1A1,Eryp,0.000106,1,2,other,0.0,0.0003,643
LINC01572,Eryp,0.000106,1,2,other,0.0,0.0003,644
HIF1A,Eryp,0.000105,1,2,tf,0.0,0.0002,645
GRK3,Eryp,0.000105,1,2,other,0.0,0.0003,646
INVS,Eryp,0.000105,1,2,other,0.0,0.0003,647
CNOT6L,Eryp,0.000103,1,2,other,0.0,0.0003,648
CPNE8,Eryp,0.000102,1,2,other,0.0,0.0003,649
CDK14,Eryp,0.0001,1,2,other,0.0,0.0003,650
RPS20,Eryp,0.0001,1,2,ribosomal,0.0,0.0005,651
CTSB,Eryp,0.0001,1,2,other,0.0,0.0002,652
DOCK5,Eryp,9.9e-05,1,2,other,0.0,0.0002,653
FER,Eryp,9.6e-05,1,2,other,0.0,0.0002,654
DAPK1,Eryp,9.5e-05,1,2,other,0.0,0.0002,655
MINPP1,Eryp,9.5e-05,1,2,other,0.0,0.0002,656
C22ORF34,Eryp,9.5e-05,1,2,other,0.0,0.0002,657
DLC1,Eryp,9.5e-05,1,2,other,0.0,0.0002,658
TASOR2,Eryp,9.5e-05,1,2,other,0.0,0.0002,659
DENND1B,Eryp,9.4e-05,1,2,other,0.0,0.0002,660
MPO,Eryp,9.4e-05,1,2,other,0.0,0.0002,661
CAMKMT,Eryp,9.3e-05,1,2,other,0.0,0.0002,662
PCNX1,Eryp,8.6e-05,1,2,other,0.0,0.0002,663
IGHG3,Eryp,8.6e-05,1,2,immunoglobulin,0.0,0.0004,664
CNTLN,Eryp,8.6e-05,1,2,other,0.0,0.0002,665
NAMPT,Eryp,8.6e-05,1,2,other,0.0,0.0002,666
FBXW7,Eryp,8.6e-05,1,2,other,0.0,0.0002,667
MDM2,Eryp,8.4e-05,1,2,other,0.0,0.0002,668
BRIP1,Eryp,8.3e-05,1,2,other,0.0,0.0002,669
SGK3,Eryp,8.3e-05,1,2,other,0.0,0.0002,670
SNX9,Eryp,8.3e-05,1,2,other,0.0,0.0002,671
POLA1,Eryp,8.2e-05,1,2,other,0.0,0.0002,672
HSPH1,Eryp,8.1e-05,1,2,other,0.0,0.0002,673
NAALADL2,Eryp,8e-05,1,2,other,0.0,0.0002,674
TXNDC5,Eryp,8e-05,1,2,other,0.0,0.0002,675
AGPS,Eryp,7.9e-05,1,2,other,0.0,0.0002,676
PMAIP1,Eryp,7.9e-05,1,2,other,0.0,0.0002,677
CERT1,Eryp,7.8e-05,1,2,other,0.0,0.0002,678
PKP4,Eryp,7.8e-05,1,2,other,0.0,0.0002,679
PCCA,Eryp,7.7e-05,1,2,other,0.0,0.0002,680
BTBD9,Eryp,7.6e-05,1,2,other,0.0,0.0002,681
CCSER1,Eryp,7.1e-05,1,2,other,0.0,0.0002,682
IGHG4,Eryp,7.1e-05,1,2,immunoglobulin,0.0,0.0003,683
CLSPN,Eryp,7e-05,1,2,other,0.0,0.0002,684
DNAH14,Eryp,7e-05,1,2,other,0.0,0.0002,685
AOAH,Eryp,7e-05,1,2,other,0.0,0.0002,686
RAB27B,Eryp,7e-05,1,2,other,0.0,0.0002,687
C2ORF88,Eryp,6.9e-05,1,2,other,0.0,0.0002,688
BCL2,Eryp,6.8e-05,1,2,other,0.0,0.0002,689
IL1B,Eryp,6.7e-05,1,2,other,0.0,0.0002,690
HBQ1,Eryp,6.4e-05,1,2,hemoglobin,0.0,0.0004,691
LINC01473,Eryp,6.4e-05,1,2,other,0.0,0.0002,692
RAB11FIP1,Eryp,6.4e-05,1,2,other,0.0,0.0002,693
HLA-DRB5,Eryp,6.3e-05,1,2,other,0.0,0.0002,694
SHLD2,Eryp,6.3e-05,1,2,other,0.0,0.0002,695
RPS29,Eryp,6.2e-05,1,2,ribosomal,0.0,0.0003,696
MGLL,Eryp,6.1e-05,1,2,other,0.0,0.0002,697
S100A10,Eryp,6.1e-05,1,2,other,0.0,0.0002,698
ERVMER61-1,Eryp,6.1e-05,1,2,other,0.0,0.0002,699
TNFAIP3,Eryp,6.1e-05,1,2,other,0.0,0.0002,700
SUPT3H,Eryp,5.9e-05,1,2,other,0.0,0.0001,701
PELI1,Eryp,5.9e-05,1,2,other,0.0,0.0001,702
NEDD4,Eryp,5.8e-05,1,2,other,0.0,0.0001,703
PRELID2,Eryp,5.7e-05,1,2,other,0.0,0.0001,704
AOPEP,Eryp,5.6e-05,1,2,other,0.0,0.0001,705
MBOAT2,Eryp,5.6e-05,1,2,other,0.0,0.0001,706
DEPTOR,Eryp,5.6e-05,1,2,other,0.0,0.0001,707
CEP170,Eryp,5.6e-05,1,2,other,0.0,0.0001,708
TRPS1,Eryp,5.6e-05,1,2,other,0.0,0.0001,709
TRIO,Eryp,5.6e-05,1,2,other,0.0,0.0001,710
FIRRE,Eryp,5.5e-05,1,2,other,0.0,0.0001,711
PDZD2,Eryp,5.4e-05,1,2,other,0.0,0.0001,712
CD38,Eryp,5.4e-05,1,2,other,0.0,0.0001,713
DOCK10,Eryp,5.3e-05,1,2,other,0.0,0.0001,714
MANBA,Eryp,5.1e-05,1,2,other,0.0,0.0001,715
DIAPH2,Eryp,4.9e-05,1,2,other,0.0,0.0001,716
PRKY,Eryp,4.8e-05,1,2,other,0.0,0.0001,717
AC079793.1,Eryp,4.8e-05,1,2,other,0.0,0.0001,718
CAVIN1,Eryp,4.7e-05,1,2,other,0.0,0.0001,719
CCDC26,Eryp,4.7e-05,1,2,other,0.0,0.0001,720
DENND5A,Eryp,4.7e-05,1,2,other,0.0,0.0001,721
